Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C6, C9",0805,6,10uF,
C4,0805,1,10nF,
"C5, C7",0805,2,100nF,
C8,0805,1,22uF,
D1,SOT-143,1,PRTR5V0U2X,C5158049
D2,0805,1,5V,C84256
D3,0805,1,3V3,C84256
D4,0805,1,USB D-,C84256
D5,0805,1,USB D+,C84256
D6,0805,1,VBUS,C84256
D7,0805,1,VBUS Protected,C84256
F1,0805,1,Fuse,C22363531
FB1,FerriteBead_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,Ferrite,C76818
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,C2927038
J2,PinHeader_2x03_P2.54mm_Vertical,1,5v Power Rail,
J3,PinHeader_2x03_P2.54mm_Vertical,1,3V3 Power Rail,
"R1, R2, R4",0805,3,5k1Ω,
"R10, R5, R7, R8, R9",0805,5,2.2kΩ,
R3,0805,1,100Ω,
R6,0805,1,1kΩ,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,C2939725
U1,SOT-363_SC-70-6,1,LM66100DCK,C2869734
U2,SOT-23-6,1,TPS22918DBV,C131941
U3,SOT-223-3_TabPin2,1,AP2114H-3.3TRG1,C150716
