Designator,Mid X,Mid Y,Rotation,Layer
C1,66.1,-61.2,180.0,top
C10,65.458333,-46.2375,90.0,top
C2,76.4,-59.8,0.0,top
C3,82.051667,-46.2375,90.0,top
C4,76.1625,-54.8,0.0,top
C5,73.755,-46.2375,90.0,top
C6,77.903333,-46.2375,90.0,top
C7,61.31,-46.2375,90.0,top
C8,69.606667,-46.2375,90.0,top
C9,86.2,-46.2375,270.0,top
D1,64.45,-65.6,270.0,top
D2,91.04,-45.15,270.0,top
D3,56.81,-44.8525,270.0,top
D4,54.925,-67.1,0.0,top
D5,54.925,-64.2,0.0,top
D6,62.285,-72.7275,270.0,top
D7,83.2775,-64.415,0.0,top
F1,75.07,-64.88,180.0,top
FB1,70.44,-64.82,180.0,top
H1,50.49,-72.21,0.0,top
H2,96.76,-71.72,0.0,top
J1,72.85,-72.48,0.0,top
J2,95.81,-47.46,180.0,bottom
J3,51.27,-47.46,180.0,bottom
R1,81.35,-74.49,0.0,top
R10,83.3,-61.7,0.0,top
R2,85.41,-74.43,0.0,top
R3,69.8,-52.3,180.0,top
R4,83.3,-57.4,0.0,top
R5,91.01,-49.4,90.0,top
R6,56.81,-49.02,90.0,top
R7,59.2,-67.1,180.0,top
R8,59.2,-64.2,180.0,top
R9,65.0,-72.75,270.0,top
SW1,96.5,-59.9,270.0,top
U1,69.8,-60.3,270.0,top
U2,70.1,-55.9375,270.0,top
U3,52.21,-58.0,0.0,top
